Ticker,Sector,Dividend Yield(%),Dividend Rate,Payout Ratio(%),5 Year Avg Dividend Yield(%),Earning Growth(%),Dividend Yield(%) Normalised,Dividend Rate Normalised,Payout Ratio(%) Normalised,5 Year Avg Dividend Yield(%) Normalised,Earning Growth(%) Normalised,Dividend Score,Cluster,Final Dividend Score,Risk Profile,Recommendation
COALINDIA.NS,Energy,505.99999999999994,21.0,52.23,8.04,1.2,0.812199036918138,0.0875,0.5592675875361387,1.0,0.17429837518463814,0.5904430661011331,1,0.526652999927783,High Yield / Aggressive,Top Pick (High Yield & Value)
BPCL.NS,Energy,623.0,20.0,56.11000000000001,5.43,0.0,1.0,0.08333333333333333,0.6008137916265125,0.6753731343283582,0.16543574593796165,0.588447626451437,1,0.5049912010452331,High Yield / Aggressive,Top Pick (High Yield & Value)
HCLTECH.NS,Technology,442.0,60.0,93.39,3.68,8.4,0.709470304975923,0.25,1.0,0.45771144278606973,0.22747415066469726,0.5771307951164606,1,0.528931179685338,High Yield / Aggressive,Top Pick (High Yield & Value)
ITC.NS,Consumer Defensive,559.0,16.0,91.53999999999999,3.63,-16.0,0.8972712680577849,0.06666666666666667,0.9801905985651568,0.45149253731343286,0.047267355982274765,0.5735780765246141,1,0.4885776853170632,High Yield / Aggressive,Top Pick (High Yield & Value)
IOC.NS,Energy,575.0,8.25,40.919998,6.59,0.0,0.9229534510433387,0.034375,0.43816252275404216,0.8196517412935324,0.16543574593796165,0.5518674627163127,1,0.476115692205775,High Yield / Aggressive,Top Pick (High Yield & Value)
ONGC.NS,Energy,607.0,14.5,39.020002,5.25,21.4,0.9743178170144462,0.06041666666666667,0.41781777492236855,0.6529850746268657,0.3234859675036928,0.5508878450978834,1,0.48580466014680806,High Yield / Aggressive,Top Pick (High Yield & Value)
HEROMOTOCO.NS,Consumer Cyclical,323.0,185.0,64.32,3.14,-17.2,0.5184590690208668,0.7708333333333334,0.6887247028589784,0.3905472636815921,0.038404726735598256,0.5293992533546006,2,0.4813938191260738,Growth & Income Balanced,Top Pick (High Yield & Value)
INFY.NS,Technology,425.0,50.0,64.599997,2.49,5.3,0.6821829855537721,0.20833333333333334,0.6917228504122497,0.3097014925373135,0.2045790251107829,0.46706433343378917,1,0.41930393738949034,High Yield / Aggressive,Hold / Watchlist
WIPRO.NS,Technology,426.99999999999994,8.0,87.37,1.69,0.8999999999999999,0.6853932584269662,0.03333333333333333,0.9355391369525645,0.2101990049751244,0.17208271787296903,0.45864054436759116,1,0.40730949031219144,High Yield / Aggressive,Hold / Watchlist
POWERGRID.NS,Utilities,451.0,12.25,44.07,4.66,-0.8,0.723916532905297,0.051041666666666666,0.4718920655316415,0.5796019900497513,0.15952732644017728,0.4536348369652188,1,0.39719591631870677,High Yield / Aggressive,Hold / Watchlist
ULTRACEMCO.NS,Basic Materials,198.0,240.0,26.709998000000002,0.57,16.8,0.31781701444622795,1.0,0.2860049041653282,0.0708955223880597,0.28951255539143284,0.3956764451836893,2,0.39284599927820973,Growth & Income Balanced,Growth Focused
HINDUNILVR.NS,Consumer Defensive,210.0,44.0,91.08999399999999,1.6,8.4,0.33707865168539325,0.18333333333333332,0.9753720312667308,0.19900497512437815,0.22747415066469726,0.39541307851697616,1,0.38445262841490657,High Yield / Aggressive,Hold / Watchlist
NTPC.NS,Utilities,361.0,12.35,27.060000000000002,3.29,-1.6,0.579454253611557,0.051458333333333335,0.28975265017667845,0.40920398009950254,0.15361890694239294,0.33928115949960924,1,0.29669762483269285,High Yield / Aggressive,Hold / Watchlist
TCS.NS,Technology,265.0,65.0,38.509998,1.55,4.6,0.42536115569823435,0.2708333333333333,0.4123567619659493,0.19278606965174133,0.1994091580502216,0.32274449550469725,0,0.30014929573989596,Conservative / Sustainable,Hold / Watchlist
TATASTEEL.NS,Basic Materials,213.0,4.0,45.25,2.8,11.4,0.3418940609951846,0.016666666666666666,0.4845272513117036,0.3482587064676617,0.24963072378138856,0.29742181556590064,0,0.28819548184452104,Conservative / Sustainable,Hold / Watchlist
