Ticker,Sector,Dividend Yield(%),Dividend Rate,Payout Ratio(%),5 Year Avg Dividend Yield(%),Earning Growth(%),Dividend Yield(%) Normalised,Dividend Rate Normalised,Payout Ratio(%) Normalised,5 Year Avg Dividend Yield(%) Normalised,Earning Growth(%) Normalised,Dividend Score,Cluster,Final Dividend Score,Risk Profile,Recommendation
ONGC.NS,Energy,770.0,18.5,41.0,5.25,21.4,1.0,0.07708333333333334,0.43901916693436127,0.6529850746268657,0.3234859675036928,0.5661661117292813,1,0.49851470847965074,High Yield / Aggressive,Top Pick (High Yield & Value)
COALINDIA.NS,Energy,505.0,21.0,52.23,8.04,1.2,0.6558441558441559,0.0875,0.5592675875361387,1.0,0.17429837518463814,0.5435366017789383,1,0.4953820237129866,High Yield / Aggressive,Top Pick (High Yield & Value)
HCLTECH.NS,Technology,436.00000000000006,60.0,93.39,3.68,8.4,0.5662337662337663,0.25,1.0,0.45771144278606973,0.22747415066469726,0.5341598334938136,1,0.5002838719369066,High Yield / Aggressive,Top Pick (High Yield & Value)
BPCL.NS,Energy,613.0,20.0,56.11000000000001,5.43,0.0,0.7961038961038961,0.08333333333333333,0.6008137916265125,0.6753731343283582,0.16543574593796165,0.5272787952826058,1,0.46421198026601235,High Yield / Aggressive,Top Pick (High Yield & Value)
HEROMOTOCO.NS,Consumer Cyclical,325.0,185.0,61.040000000000006,3.14,25.7,0.42207792207792205,0.7708333333333334,0.6536031695042296,0.3905472636815921,0.3552437223042837,0.525144502157636,0,0.5184610821802721,Conservative / Sustainable,Top Pick (High Yield & Value)
ITC.NS,Consumer Defensive,558.0,16.0,91.53999999999999,3.63,-16.0,0.7246753246753247,0.06666666666666667,0.9801905985651568,0.45149253731343286,0.047267355982274765,0.5217992935098761,1,0.4540584966405712,High Yield / Aggressive,Top Pick (High Yield & Value)
IOC.NS,Energy,573.0,8.25,40.919998,6.59,0.0,0.7441558441558441,0.034375,0.43816252275404216,0.8196517412935324,0.16543574593796165,0.49822818065006436,1,0.44035617082827605,High Yield / Aggressive,Hold / Watchlist
INFY.NS,Technology,424.0,50.0,64.599997,2.49,5.3,0.5506493506493506,0.20833333333333334,0.6917228504122497,0.3097014925373135,0.2045790251107829,0.4276042429624628,1,0.392997210408606,High Yield / Aggressive,Hold / Watchlist
WIPRO.NS,Technology,428.0,8.0,87.37,1.69,0.8999999999999999,0.5558441558441558,0.03333333333333333,0.9355391369525645,0.2101990049751244,0.17208271787296903,0.41977581359274807,1,0.3813996697956294,High Yield / Aggressive,Hold / Watchlist
POWERGRID.NS,Utilities,426.99999999999994,12.25,44.759998,4.66,9.6,0.5545454545454545,0.051041666666666666,0.4792804154620409,0.5796019900497513,0.23633677991137375,0.4119821287904655,1,0.3801612613270574,High Yield / Aggressive,Hold / Watchlist
ULTRACEMCO.NS,Basic Materials,197.0,240.0,26.709998000000002,0.57,16.8,0.2558441558441558,1.0,0.2860049041653282,0.0708955223880597,0.28951255539143284,0.3770845876030676,0,0.3804514275577953,Conservative / Sustainable,Hold / Watchlist
HINDUNILVR.NS,Consumer Defensive,211.0,44.0,91.08999399999999,1.6,8.4,0.274025974025974,0.18333333333333332,0.9753720312667308,0.19900497512437815,0.22747415066469726,0.37649727521915033,1,0.3718420928830227,High Yield / Aggressive,Hold / Watchlist
NTPC.NS,Utilities,353.0,12.35,27.060000000000002,3.29,-1.6,0.4584415584415584,0.051458333333333335,0.28975265017667845,0.40920398009950254,0.15361890694239294,0.30297735094860967,1,0.2724950857986932,High Yield / Aggressive,Hold / Watchlist
TCS.NS,Technology,269.0,65.0,38.509998,1.55,4.6,0.34935064935064936,0.2708333333333333,0.4123567619659493,0.19278606965174133,0.1994091580502216,0.2999413436004218,2,0.284947194470379,Growth & Income Balanced,Growth Focused
TATASTEEL.NS,Basic Materials,206.99999999999997,4.0,45.25,2.8,11.4,0.2688311688311688,0.016666666666666666,0.4845272513117036,0.3482587064676617,0.24963072378138856,0.27550294791669594,1,0.27358290341171787,High Yield / Aggressive,Hold / Watchlist
MARUTI.NS,Consumer Cyclical,99.0,140.0,29.610002,0.8,-9.1,0.12857142857142856,0.5833333333333334,0.31705752221865297,0.09950248756218907,0.09822747415066473,0.24837284460933015,0,0.24533844916725375,Conservative / Sustainable,Hold / Watchlist
ASIANPAINT.NS,Basic Materials,100.0,27.5,55.34,0.88,39.900000000000006,0.12987012987012986,0.11458333333333333,0.592568797515794,0.10945273631840798,0.46011816838995584,0.2482938292335416,2,0.28131863308552424,Growth & Income Balanced,Growth Focused
EICHERMOT.NS,Consumer Cyclical,103.0,82.0,33.310002,0.84,21.3,0.13376623376623376,0.3416666666666667,0.3566763250883392,0.10447761194029852,0.3227474150664698,0.23296873237557797,2,0.2518668505056016,Growth & Income Balanced,Growth Focused
